Obs;CRD_E;CRD_N;VT;TIPO;AREA_T;ATER;GRG;ID3;P_2;P_3;P_4
1;735733;6945673;107000;Apartame;114;0;1;0;1;0;0
2;735691;6945781;60000;Apartame;57;0;0;0;0;1;0
3;735698;6945843;68000;Apartame;61,7;0;1;0;0;1;0
4;735698;6945843;68000;Apartame;70;0;1;0;0;1;0
5;735616;6945463;70000;Apartame;85;0;1;0;0;1;0
6;735570;6945254;150000;Apartame;110;0;1;0;0;1;0
7;735570;6945254;55000;Apartame;65;0;1;0;0;1;0
8;735568;6945286;42000;Apartame;75;0;1;0;0;1;0
9;735568;6945286;30000;Kitinete;35;0;0;0;0;1;0
10;735535;6945081;150000;Apartame;135;0;1;0;0;1;0
11;735535;6945117;100000;Apartame;80;0;1;0;0;1;0
12;735554;6945041;179500;Apartame;140,69;0;1;0;1;0;0
13;735514;6944984;60000;Apartame;80;0;1;0;0;1;0
14;735514;6944984;60000;Apartame;80;0;1;0;0;1;0
15;735514;6944984;50000;Apartame;80;0;1;0;0;1;0
16;735514;6944984;38000;Apartame;40;0;0;0;0;1;0
17;735514;6944984;38000;Apartame;50;0;0;0;0;1;0
18;735433;6944967;195000;Apartame;148;0;1;0;1;0;0
19;735476;6944980;155000;Apartame;148;0;1;0;1;0;0
20;735482;6945009;195000;Apartame;194;0;1;0;1;0;0
21;735439;6945002;186000;Apartame;194;0;1;0;1;0;0
22;735439;6945002;145000;Apartame;148;0;1;0;1;0;0
23;735511;6945186;60000;Comercia;40;0;0;0;0;1;0
24;735417;6945508;60000;Apartame;48;0;0;0;0;1;0
25;735625;6945690;60000;Apartame;60,23;0;1;0;0;1;0
26;735609;6945628;62000;Apartame;70;0;1;0;0;1;0
27;735645;6945777;50000;Apartame;66,34;0;0;0;0;1;0
28;735657;6945916;50000;Apartame;74;0;0;0;0;1;0
29;735709;6946051;80000;Apartame;85;0;1;0;0;1;0
30;735603;6945994;80000;Apartame;110;0;1;0;0;1;0
31;735645;6946113;65000;Apartame;81;0;1;0;0;1;0
32;735645;6946113;50000;Apartame;81,04;0;1;0;0;1;0
33;735636;6946014;35200;Kitinete;40;0;0;0;0;1;0
34;735518;6945522;65000;Apartame;90;0;1;0;0;1;0
35;735431;6945286;43000;Apartame;50;0;0;0;1;0;0
36;735441;6945294;38000;Kitinete;40;0;0;0;0;1;0
37;735431;6945078;53000;Apartame;55;0;1;0;0;1;0
38;735418;6944735;57000;Apartame;60;0;0;0;0;1;0
39;735328;6944723;800000;terreno;748,14;0;0;0;0;0;0
40;735382;6945155;116000;Apartame;124,43;0;1;1;1;0;0
41;735382;6945155;127000;Apartame;124,43;0;1;1;1;0;0
42;735382;6945155;116000;Apartame;124,43;0;1;1;1;0;0
43;735382;6945155;126000;Apartame;124,43;0;1;1;1;0;0
44;735382;6945324;149940;Apartame;126;0;1;0;1;0;0
45;735340;6945511;60000;Apartame;83,44;0;1;0;0;1;0
46;735255;6945544;59500;Apartame;73,16;0;1;0;0;1;0
47;735267;6945552;188000;Apartame;156;0;1;1;1;0;0
48;735267;6945552;225000;Apartame;193;0;1;1;1;0;0
49;735255;6945544;200000;Apartame;156,51;0;1;1;1;0;0
50;735506;6945859;34000;Apartame;48,7;0;0;0;1;0;0
51;735557;6945928;165000;Apartame;157;0;1;1;1;0;0
52;735564;6945982;130000;Apartame;137;0;1;1;1;0;0
53;735556;6945954;137000;Apartame;137;0;1;1;1;0;0
54;735527;6945934;190000;Apartame;140;0;1;1;1;0;0
55;735197;6945421;35000;Kitinete;35;0;0;0;0;1;0
56;735197;6945421;35000;Kitinete;37;0;0;0;0;1;0
57;735197;6945421;35000;Kitinete;35;0;0;0;0;1;0
58;735215;6945495;75000;Apartame;80;0;1;0;0;1;0
59;735240;6945451;65000;Apartame;64;0;1;0;0;1;0
60;735237;6945411;37800;Kitinete;40;0;0;0;0;1;0
61;735237;6945411;30000;Kitinete;35;0;0;0;0;1;0
62;735237;6945411;30000;Kitinete;35;0;0;0;0;1;0
63;735235;6945584;48000;Apartame;53;0;0;0;1;0;0
64;735272;6945585;50000;Apartame;58,17;0;1;0;0;1;0
65;735344;6945729;55000;Apartame;76,1;0;1;0;0;1;0
66;735365;6945815;169000;Apartame;148;0;1;1;1;0;0
67;735357;6945818;165000;Apartame;148;0;1;1;1;0;0
68;735357;6945818;185000;Apartame;145;0;1;1;1;0;0
69;735357;6945818;60000;Apartame;72;0;0;0;0;1;0
70;735302;6945437;58500;Apartame;60;0;1;0;0;1;0
71;735350;6945336;59000;Apartame;71;0;1;0;0;1;0
72;735400;6945255;65000;Apartame;80;0;1;0;0;1;0
73;734890;6944870;141000;Apartame;130;0;1;1;1;0;0
74;734890;6944870;139000;Apartame;130;0;1;1;1;0;0
75;734890;6944870;155000;Apartame;150;0;1;1;1;0;0
76;734890;6944870;161000;Apartame;150;0;1;1;1;0;0
77;734890;6944870;150000;Apartame;144,68;0;1;1;1;0;0
78;734890;6944870;100000;Apartame;130;0;1;1;1;0;0
79;735221;6945221;45000;Apartame;68;0;0;0;0;0;1
80;735221;6945221;43000;Apartame;68;0;0;0;0;0;1
81;735235;6944710;900000;terreno;733,77;0;0;0;0;0;0
82;735190;6945396;160000;casa;160;300;1;0;0;1;0
83;735937;6945945;40000;Apartame;60;0;0;0;0;1;0
84;735840;6946004;170000;terreno;360;0;0;0;0;0;0
85;735791;6946033;56000;Apartame;60;0;1;0;0;1;0
86;736212;6944952;40000;Apartame;60;0;1;0;1;0;0
87;736318;6945025;36000;Apartame;52,45;0;0;0;1;0;0
88;736244;6945075;112000;Apartame;122;0;1;0;1;0;0
89;736271;6945108;115000;Apartame;122;0;1;0;1;0;0
90;736280;6945083;150000;Apartame;122;0;1;0;1;0;0
91;735942;6944987;145000;Apartame;156,183;0;1;1;1;0;0
92;735942;6944987;120000;Apartame;115;0;1;1;1;0;0
93;735942;6944987;157000;Apartame;156,17;0;1;1;1;0;0
94;735942;6944987;168000;Apartame;156,89;0;1;1;1;0;0
95;735610;6944996;150000;Apartame;119;0;1;0;1;0;0
96;735608;6944927;234000;Apartame;179,4;0;1;1;1;0;0
97;735608;6944927;233000;Apartame;205;0;1;1;1;0;0
98;735608;6944927;311000;Apartame;205;0;1;1;1;0;0
99;735608;6944927;94400;Comercia;67,18;0;1;1;1;0;0
100;735608;6944927;283000;Apartame;205,46;0;1;1;1;0;0
101;735608;6944927;317592;Apartame;205,36;0;1;1;1;0;0
102;735608;6944927;180700;Comercia;128,63;0;1;1;1;0;0
103;735608;6944927;71952;Comercia;48,86;0;0;1;1;0;0
104;735689;6945065;85000;Apartame;77;0;1;0;0;1;0
105;735752;6945115;40000;Apartame;48,05;0;0;1;1;0;0
106;735752;6945115;38000;Apartame;48,89;0;0;1;1;0;0
107;735752;6945115;40000;Apartame;47;0;0;1;1;0;0
108;736158;6945150;109999;Apartame;132;0;1;1;1;0;0
109;736170;6945153;96000;Apartame;108;0;1;1;1;0;0
110;736145;6945147;130000;Apartame;132;0;1;1;1;0;0
111;736266;6945199;200000;Apartame;173,11;0;1;1;1;0;0
112;736103;6945233;80000;Apartame;128,22;0;1;0;1;0;0
113;736052;6945275;130000;Apartame;138;0;1;0;1;0;0
114;735985;6945278;60000;Apartame;81,07;0;1;0;0;1;0
115;736016;6945249;60000;Apartame;78;0;1;0;0;1;0
116;736003;6945275;60000;Apartame;90;0;0;0;0;1;0
117;736044;6945381;95000;Apartame;120;0;1;1;1;0;0
118;736050;6945330;243800;casa;280;345;1;0;0;1;0
119;736089;6945384;300000;terreno;540;0;0;0;0;0;0
120;736154;6945477;40000;Apartame;61;0;1;0;0;1;0
121;736116;6945455;75000;Apartame;100;0;1;0;0;1;0
122;736147;6945462;60000;Apartame;74;0;1;0;0;1;0
123;736147;6945462;45000;Apartame;57;0;1;0;0;1;0
124;736147;6945462;85000;Apartame;100;0;1;0;0;1;0
125;736123;6945501;50000;Apartame;62;0;1;0;0;1;0
126;736119;6945622;55000;Apartame;80,85;0;1;0;0;1;0
127;736133;6945641;70000;Apartame;83,65;0;1;0;0;1;0
128;736147;6945650;70000;Apartame;83,65;0;1;0;0;1;0
129;736142;6945664;45000;Apartame;60;0;0;0;0;1;0
130;736117;6945636;85000;Apartame;90;0;1;0;0;1;0
131;736045;6945596;83000;Apartame;90;0;1;0;1;0;0
132;736069;6945606;110000;Apartame;120;0;1;0;1;0;0
133;736072;6945628;70000;Apartame;90;0;1;0;1;0;0
134;736011;6945398;159000;Apartame;159;0;1;1;1;0;0
135;735995;6945399;172000;Apartame;170;0;1;1;1;0;0
136;736006;6945415;128000;Apartame;120;0;1;1;1;0;0
137;735931;6945328;180000;casa;210;297;1;0;0;1;0
138;735895;6945283;62000;Apartame;97;0;1;0;0;1;0
139;735733;6945246;113000;Apartame;88,48;0;1;1;1;0;0
140;735732;6945260;113000;Apartame;87;0;1;1;0;1;0
141;735746;6945249;100000;Apartame;80;0;0;1;0;1;0
142;735746;6945259;110000;Apartame;87;0;1;1;0;1;0
143;735747;6945260;113000;Apartame;87;0;1;1;0;1;0
144;735745;6945262;120000;Apartame;118;0;1;1;1;0;0
145;735759;6945251;149000;Apartame;129;0;1;1;1;0;0
146;735756;6945265;120000;Apartame;118;0;1;1;1;0;0
147;735693;6945256;100000;Apartame;112;0;1;0;0;1;0
148;735687;6945349;160000;terreno;360;0;0;0;0;0;0
149;735767;6945400;55000;Apartame;67;0;1;1;1;0;0
150;735868;6945456;170000;Apartame;141,53;0;1;1;1;0;0
151;735908;6945456;180000;Apartame;141,53;0;1;1;1;0;0
152;735933;6945557;49000;Apartame;78;0;0;0;0;1;0
153;735933;6945557;68000;Apartame;89;0;1;0;0;1;0
154;735933;6945557;67000;Apartame;99;0;1;0;0;1;0
155;735933;6945557;77000;Apartame;89;0;1;0;0;1;0
156;735925;6945506;130000;Apartame;135;0;1;1;1;0;0
157;735950;6945512;145000;Apartame;150;0;1;1;1;0;0
158;735783;6945650;65000;Comercia;50;0;0;0;0;1;0
159;735766;6945591;210000;casa;158;330;1;0;0;1;0
160;735770;6945488;40000;Apartame;60;0;0;0;0;0;1
161;735770;6945488;38000;Apartame;50;0;0;0;0;0;1
162;735767;6945682;75000;Apartame;93;0;0;0;1;0;0
163;736111;6945720;100000;Comercia;80;0;1;0;0;1;0
164;736224;6945679;100000;terreno;360;0;0;0;0;0;0
165;736303;6945618;74000;Apartame;90;0;1;0;0;1;0
166;736220;6945741;28000;Kitinete;41,47;0;0;0;0;1;0
167;736187;6945759;60000;Apartame;82;0;1;0;0;1;0
168;736091;6945862;65000;Apartame;75;0;1;0;0;1;0
169;736131;6945836;67000;Apartame;80;0;1;0;0;1;0
170;735821;6945966;65000;Apartame;98,34;0;1;0;0;1;0
171;735830;6945975;70000;Apartame;98,34;0;1;0;0;1;0
172;735870;6945823;95000;Apartame;90;0;1;0;0;1;0
173;735870;6945823;95000;Apartame;107;0;1;0;0;1;0
174;736008;6945803;300000;casa;300;360;1;0;1;0;0
175;735864;6945276;55000;Apartame;58;0;0;0;0;1;0
176;735883;6945292;60000;Apartame;68;0;1;0;0;1;0
177;735883;6945292;58000;Apartame;65;0;1;0;0;1;0
178;736181;6945266;1200000;terreno;1830;0;0;0;0;0;0
179;735990;6945323;48000;Apartame;60;0;0;0;0;1;0
180;736011;6945899;530000;terreno;1200;0;0;0;0;0;0
181;735687;6946091;55000;Apartame;72;0;0;0;0;1;0
182;735656;6945942;95000;Apartame;100;0;1;0;0;1;0
183;735202;6945437;32000;Kitinete;27;0;0;0;0;1;0
184;735963;6945885;75000;Apartame;91;0;1;0;0;1;0
185;735681;6945775;58000;Apartame;80;0;0;0;0;1;0
186;734993;6944893;350000;casa;340;720;1;0;1;0;0
187;736282;6945240;110000;Apartame;80;0;1;0;0;1;0
188;735755;6945257;106000;Apartame;120,14;0;1;0;1;0;0
189;735859;6945000;380000;casa;247;420;1;0;1;0;0
190;735771;6945084;60000;Apartame;78;0;1;0;0;1;0
191;735289;6945509;242000;terreno;360;0;0;0;0;0;0
192;735227;6945434;35000;Kitinete;35;0;0;0;0;1;0
193;735464;6945131;280000;Apartame;220;0;1;0;1;0;0
194;735464;6945131;265000;Apartame;220;0;1;0;1;0;0
195;735364;6945203;47000;Apartame;67;0;0;0;0;0;1
196;736413;6945198;58000;Apartame;100;0;0;0;0;1;0
197;736427;6945210;55000;Apartame;100;0;0;0;0;1;0
198;736167;6945468;78000;Apartame;105;0;1;0;0;1;0
199;736062;6945582;63000;Apartame;75;0;1;0;0;1;0
200;736276;6945592;120000;Apartame;100;0;1;1;1;0;0
201;735912;6944756;57000;Apartame;64;0;0;0;0;1;0
202;735662;6946099;65000;Apartame;81;0;0;0;0;1;0
203;735618;6945630;60000;Apartame;73;0;0;0;0;1;0
204;735272;6945585;65000;Apartame;55;0;1;0;0;1;0
205;735496;6945859;76000;Apartame;65;0;1;0;1;0;0
206;736230;6945689;135000;casa;240;240;1;0;0;0;1
207;735950;6945865;75000;Apartame;91;0;1;0;0;1;0
208;735635;6946134;68000;Apartame;81;0;0;0;0;1;0
209;735518;6945522;67000;Apartame;71;0;1;0;0;1;0
210;735691;6945194;53000;Apartame;69;0;1;0;0;1;0
211;735009;6944991;220000;casa;108;360;1;0;0;1;0
212;734993;6944893;350000;casa;340;720;1;0;1;0;0
213;736254;6945715;320000;casa;300;402;1;0;1;0;0
214;735005;6944570;700000;casa;210;1000;1;0;1;0;0
215;736465;6945589;80000;casa;294;294;1;0;0;0;1
216;736279;6944943;250000;casa;300;300;1;0;0;1;0
217;736103;6945089;155000;casa;192;192;1;0;0;1;0
218;736217;6945671;230000;terreno;360;0;0;0;0;0;0
219;736201;6945698;220000;casa;160;360;1;0;0;1;0
220;735363;6944896;325000;casa;170;301;1;0;0;1;0
221;736107;6945462;210000;terreno;360;0;0;0;0;0;0
222;735363;6944896;190000;terreno;360;0;0;0;0;0;0
223;735531;6945284;32000;Kitinete;38;0;0;0;0;1;0
224;736357;6945031;35000;Kitinete;32;0;0;0;0;1;0
225;735627;6944778;160000;Comercia;135;0;0;0;0;1;0
226;735015;6944576;850000;terreno;920;0;0;0;0;0;0
227;735833;6945135;175000;casa;120;220;1;0;0;1;0
228;736029;6945518;280000;casa;220;360;1;0;0;1;0
229;736176;6945725;180000;casa;150;360;1;0;0;1;0
230;735392;6945796;36000;Kitinete;40;0;0;0;0;1;0
231;735434;6945300;42000;Kitinete;37;0;0;0;1;0;0
232;736415;6945173;155000;casa;240;360;1;0;1;0;0
233;735808;6945413;205000;terreno;360;0;0;0;0;0;0
234;735445;6945138;360000;casa;234;364;1;0;0;1;0
235;735467;6945733;320000;casa;200;366;1;0;0;1;0
236;735637;6945988;28000;Kitinete;35;0;0;0;0;1;0
237;735554;6945641;330000;casa;180;364;1;0;0;1;0
238;735431;6945286;39500;Kitinete;37;0;0;0;1;0;0
239;735215;6945437;36000;Kitinete;31;0;0;0;0;1;0
240;735382;6945800;28000;Kitinete;40;0;0;0;0;1;0
241;736356;6945045;28000;Kitinete;38;0;0;0;0;1;0
242;736457;6945564;120000;casa;130;311;1;0;0;1;0
243;735407;6945757;300000;casa;220;364;1;0;0;1;0
244;736370;6945781;80000;terreno;360;0;0;0;0;0;0
245;735520;6945188;47000;Comercia;35;0;0;0;0;1;0
246;735687;6945525;57000;Comercia;70;0;0;0;0;1;0
247;735917;6945161;650000;terreno;640;0;0;0;0;0;0
248;735936;6945042;950000;terreno;696;0;0;0;0;0;0
249;736113;6945178;130000;casa;100;180;1;0;0;1;0
